token_id,frequency,rock_count,rock_rate,avg_loss_before,avg_loss_after,avg_improvement,avg_teacher_entropy,avg_student_entropy_before,avg_student_entropy_after,rank_by_rate,rank_by_count,token_string
38770,52,17,0.3269230769230769,0.8181008061823937,0.8060681875078723,0.012032618674521323,1.3157772447627325,1.332450721054696,1.266116953204171,129,1657,unless
4329,52,17,0.3269230769230769,1.1846771616272656,1.2753075244288015,-0.09063036280153591,1.043739116162984,1.204977343937991,1.1694712872222925,130,1658, Some
27079,54,17,0.3148148148148148,0.6576847581244591,0.516104078532576,0.14158067959188314,0.9235818486626225,0.878622039518733,0.9058730346754331,164,1659, accordingly
9008,31,16,0.5161290322580645,0.6046251274951389,0.91610420066131,-0.3114790731661712,0.6436016458807693,0.8632105569535445,0.6399726036921023,3,1721, Initialize
6955,31,16,0.5161290322580645,0.8904209621591543,1.0370552356654381,-0.14663427350628377,0.9399031445753926,1.0733010593441226,1.0245884144979138,4,1722, economic
6583,31,16,0.5161290322580645,2.0267291796664075,2.077422599638662,-0.05069341997225463,0.9278059605088446,0.5278264125508647,0.4519117416273202,5,1723,Long
6069,34,16,0.47058823529411764,0.7155373263830209,0.752832431688576,-0.03729510530555513,1.340872027363409,1.4105648893643827,1.2834639068254654,11,1724, led
9124,37,16,0.43243243243243246,1.039403552343641,1.0630230928859297,-0.023619540542288764,1.4225664806954965,1.4912901418031872,1.4841544244413238,27,1725, visual
11450,39,16,0.41025641025641024,1.3009113330880586,1.3668320044779625,-0.06592067138990387,0.9828853310109713,0.9608879255560728,0.9598632483528211,38,1726, creates
7661,40,16,0.4,0.8476582830771804,0.8432838036445901,0.004374479432590284,0.8966370461508631,0.9518506290856749,0.9173513865505811,47,1727,More
7802,42,16,0.38095238095238093,0.5482721069295492,0.6199801528100146,-0.07170804588046542,1.0263637355750515,1.1523746136753332,1.019351736952861,61,1728, affect
16652,43,16,0.37209302325581395,0.5563792794195632,0.5333879379512265,0.0229913414683367,1.0054459397377835,1.1324945154145014,0.9920383355212073,66,1729, removal
3730,44,16,0.36363636363636365,1.251854469245121,1.3366174136582147,-0.08476294441309373,1.1057669486577983,1.127921086369249,1.07374232515444,75,1730, doing
4135,46,16,0.34782608695652173,1.4581860768831456,1.263725280377042,0.1944607965061036,1.1780286209933641,1.0724201324679281,1.0791099023316866,102,1731, easy
